airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,06/22/2011,Kathmandu,NYC,07/03/2011,2711,3540,4305,4386
NYC,XNN,06/22/2011,Kathmandu,NYC,07/04/2011,2633,3130,3186,3231
NYC,XNN,06/23/2011,Kathmandu,NYC,07/01/2011,2691,4879,4894,4964
NYC,XNN,06/23/2011,Kathmandu,NYC,07/02/2011,3075,3184,3330,3836
NYC,XNN,06/23/2011,Kathmandu,NYC,07/03/2011,2661,2771,2892,4199
NYC,XNN,06/23/2011,Kathmandu,NYC,07/04/2011,3075,3131,3252,3758
NYC,XNN,06/23/2011,Kathmandu,NYC,07/05/2011,2387,2496,2892,3365
NYC,XNN,06/24/2011,Kathmandu,NYC,07/02/2011,3165,3274,3317,3437
NYC,XNN,06/24/2011,Kathmandu,NYC,07/03/2011,2776,2886,3067,3397
NYC,XNN,06/24/2011,Kathmandu,NYC,07/04/2011,3165,3221,3402,3406
NYC,XNN,06/24/2011,Kathmandu,NYC,07/05/2011,2502,2611,2793,3123
NYC,XNN,06/24/2011,Kathmandu,NYC,07/06/2011,3749,3858,3873,3873
NYC,XNN,06/25/2011,Kathmandu,NYC,07/03/2011,2681,3895,4859,4874
NYC,XNN,06/25/2011,Kathmandu,NYC,07/04/2011,2983,3110,3166,3321
NYC,XNN,06/25/2011,Kathmandu,NYC,07/05/2011,2407,2516,2698,2983
NYC,XNN,06/25/2011,Kathmandu,NYC,07/06/2011,3013,3694,3873,3873
NYC,XNN,06/25/2011,Kathmandu,NYC,07/07/2011,2711,2821,3002,3576
NYC,XNN,06/26/2011,Kathmandu,NYC,07/04/2011,3826,3843,3843,3927
NYC,XNN,06/26/2011,Kathmandu,NYC,07/05/2011,3232,3341,3365,3797
NYC,XNN,06/26/2011,Kathmandu,NYC,07/06/2011,3873,3873,4216,4244
NYC,XNN,06/26/2011,Kathmandu,NYC,07/07/2011,3536,3646,3827,3904
NYC,XNN,06/26/2011,Kathmandu,NYC,07/08/2011,3536,3646,3871,4313
NYC,XNN,06/27/2011,Kathmandu,NYC,07/05/2011,2437,2546,2728,3153
NYC,XNN,06/27/2011,Kathmandu,NYC,07/06/2011,3647,3714,3823,3873
NYC,XNN,06/27/2011,Kathmandu,NYC,07/07/2011,2741,2851,3006,3313
NYC,XNN,06/27/2011,Kathmandu,NYC,07/08/2011,2741,3647,4879,4894
NYC,XNN,06/27/2011,Kathmandu,NYC,07/09/2011,2906,3130,3239,3445
NYC,XNN,06/28/2011,Kathmandu,NYC,07/06/2011,3714,3823,3873,4074
NYC,XNN,06/28/2011,Kathmandu,NYC,07/07/2011,2741,2851,3032,3836
NYC,XNN,06/28/2011,Kathmandu,NYC,07/08/2011,2741,4879,4894,4974
NYC,XNN,06/28/2011,Kathmandu,NYC,07/09/2011,3130,3239,3420,3836
NYC,XNN,06/28/2011,Kathmandu,NYC,07/10/2011,2572,2682,2863,3702
NYC,XNN,06/29/2011,Kathmandu,NYC,07/07/2011,2741,2851,3257,3457
NYC,XNN,06/29/2011,Kathmandu,NYC,07/08/2011,2741,3998,4879,4894
NYC,XNN,06/29/2011,Kathmandu,NYC,07/09/2011,3130,3239,3445,3679
NYC,XNN,06/29/2011,Kathmandu,NYC,07/10/2011,2572,3998,4859,4874
NYC,XNN,06/29/2011,Kathmandu,NYC,07/11/2011,3127,3130,3186,3367
NYC,XNN,06/30/2011,Kathmandu,NYC,07/08/2011,2741,4879,4894,5090
NYC,XNN,06/30/2011,Kathmandu,NYC,07/09/2011,3130,3369,3575,3836
NYC,XNN,06/30/2011,Kathmandu,NYC,07/10/2011,2767,2877,3058,4362
NYC,XNN,06/30/2011,Kathmandu,NYC,07/11/2011,3260,3316,3497,3758
NYC,XNN,06/30/2011,Kathmandu,NYC,07/12/2011,2507,2616,3058,3240
NYC,XNN,07/01/2011,Kathmandu,NYC,07/09/2011,3110,3219,3437,3447
NYC,XNN,07/01/2011,Kathmandu,NYC,07/10/2011,2542,2652,3985,4410
NYC,XNN,07/01/2011,Kathmandu,NYC,07/11/2011,3110,3166,3347,3772
NYC,XNN,07/01/2011,Kathmandu,NYC,07/12/2011,2542,3718,3718,3803
NYC,XNN,07/01/2011,Kathmandu,NYC,07/13/2011,3694,3748,3748,3803
NYC,XNN,07/02/2011,Kathmandu,NYC,07/10/2011,2542,3895,4563,4859
NYC,XNN,07/02/2011,Kathmandu,NYC,07/11/2011,2983,3110,3166,3347
NYC,XNN,07/02/2011,Kathmandu,NYC,07/12/2011,2542,2858,3528,3718
NYC,XNN,07/02/2011,Kathmandu,NYC,07/13/2011,2888,3558,3694,3748
NYC,XNN,07/02/2011,Kathmandu,NYC,07/14/2011,2572,2682,2863,3576
NYC,XNN,07/03/2011,Kathmandu,NYC,07/11/2011,3260,3316,3497,3826
NYC,XNN,07/03/2011,Kathmandu,NYC,07/12/2011,2507,2616,3058,3240
NYC,XNN,07/03/2011,Kathmandu,NYC,07/13/2011,3748,3748,3844,3944
NYC,XNN,07/03/2011,Kathmandu,NYC,07/14/2011,2797,2907,3088,3904
NYC,XNN,07/03/2011,Kathmandu,NYC,07/15/2011,2797,4879,4894,5336
NYC,XNN,07/04/2011,Kathmandu,NYC,07/12/2011,2522,3647,3718,3718
NYC,XNN,07/04/2011,Kathmandu,NYC,07/13/2011,3647,3659,3748,3748
NYC,XNN,07/04/2011,Kathmandu,NYC,07/14/2011,2552,2662,3268,3313
NYC,XNN,07/04/2011,Kathmandu,NYC,07/15/2011,2552,3647,4879,4894
NYC,XNN,07/04/2011,Kathmandu,NYC,07/16/2011,3075,3184,3390,3500
NYC,XNN,07/05/2011,Kathmandu,NYC,07/13/2011,3714,3748,3748,3768
NYC,XNN,07/05/2011,Kathmandu,NYC,07/14/2011,2552,2662,2843,3836
NYC,XNN,07/05/2011,Kathmandu,NYC,07/15/2011,2552,4879,4894,4974
NYC,XNN,07/05/2011,Kathmandu,NYC,07/16/2011,3075,3184,3390,3836
NYC,XNN,07/05/2011,Kathmandu,NYC,07/17/2011,2522,4859,4874,4954
NYC,XNN,07/06/2011,Kathmandu,NYC,07/14/2011,2552,2662,3257,3268
NYC,XNN,07/06/2011,Kathmandu,NYC,07/15/2011,2552,3610,4879,4894
NYC,XNN,07/06/2011,Kathmandu,NYC,07/16/2011,3075,3184,3277,3390
NYC,XNN,07/06/2011,Kathmandu,NYC,07/17/2011,2522,3610,4859,4874
NYC,XNN,07/06/2011,Kathmandu,NYC,07/18/2011,3075,3131,3277,3312
NYC,XNN,07/07/2011,Kathmandu,NYC,07/15/2011,2602,4879,4894,5092
NYC,XNN,07/07/2011,Kathmandu,NYC,07/16/2011,3130,3239,3445,3836
NYC,XNN,07/07/2011,Kathmandu,NYC,07/17/2011,2572,4859,4874,5316
NYC,XNN,07/07/2011,Kathmandu,NYC,07/18/2011,3130,3186,3367,3718
NYC,XNN,07/07/2011,Kathmandu,NYC,07/19/2011,2312,2421,2863,3240
NYC,XNN,07/08/2011,Kathmandu,NYC,07/16/2011,3110,3219,3262,3437
NYC,XNN,07/08/2011,Kathmandu,NYC,07/17/2011,2542,2652,3822,4122
NYC,XNN,07/08/2011,Kathmandu,NYC,07/18/2011,3087,3087,3110,3166
NYC,XNN,07/08/2011,Kathmandu,NYC,07/19/2011,2282,2391,2573,2890
